기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
몬드리안에이아이(주),,중소기업,2018년 6월 18일,시스템 소프트웨어 개발 및 공급업,인천 연수구,,,,2018년,
법무법인와이케이,업력 6년차,중소기업,2020년 1월 9일 설립,변호사업,"서울 강남구 테헤란로 103 (역삼동,인춘재단빌딩)","3,569만원","7,831만원","6,679만원",2020년,
(주)엔텔스,업력 26년차,중소기업,2000년 7월 19일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 학동로 401, 8층","3,309만원","7,616만원","6,122만원",2000년,
(주)글로벌아이티정보기술,업력 21년차,중소기업,2005년 12월 5일 설립,컴퓨터 학원,"서울 관악구 남부순환로 1820, 14층","3,113만원","6,008만원","4,938만원",2005년,
퓨렌스(주),업력 19년차,중소기업,2007년 2월 27일 설립,응용 소프트웨어 개발 및 공급업,"서울 금천구 디지털로 121, 제503호.제504호 (가산동,에이스가산타워)","2,891만원","6,562만원","4,687만원",2007년,
(주)엔티엘헬스케어,,중소기업,1996년 4월 10일 설립,"제약,보건,바이오",경기 성남시 수정구,,,,1996년,
핌즈(주),업력 22년차,중소기업,2004년 6월 2일 설립,응용 소프트웨어 개발 및 공급업,"서울 중랑구 신내역로3길 40-36, A동 1217호 (신내동,신내데시앙플렉스)","3,029만원","6,977만원","5,282만원",2004년,
(주)그레이비랩,업력 5년차,중소기업,2021년 1월 6일 설립,응용 소프트웨어 개발 및 공급업,"서울 관악구 낙성대로 2, 301호 (봉천동,낙성벤처창업센터)","3,461만원","7,127만원","5,979만원",2021년,
세종지능경영원(주),,중소기업,2019년 11월 25일 설립,기타 정보기술 및 컴퓨터운영 관련 서비스업,부산 해운대구,"2,666만원","5,572만원","3,780만원",2019년,
(주)스탠스,,중소기업,2017년 3월 8일 설립,응용 소프트웨어 개발 및 공급업,서울 노원구,"3,036만원","6,994만원","5,308만원",2017년,
나두모두,업력 4년차,중소기업,2022년 3월 25일 설립,전기ㆍ전자공학 연구개발업,"서울 강남구 테헤란로 311, 1421호 (역삼동,아남타워)","2,553만원","5,759만원","3,854만원",2022년,
(주)코오롱,업력 69년차,대기업,1957년 4월 12일 설립,지주회사,경기 과천시 코오롱로 11,,,,1957년,
(주)싸이트플래닝건축사사무소,업력 11년차,중소기업,2015년 3월 31일 설립,건축설계 및 관련 서비스업,"부산 동구 중앙대로226번길 3-8, 9층","2,898만원","6,520만원","4,847만원",2015년,
(주)글로벌머니익스프레스,,중소기업,2016년 8월 30일 설립,금융업,서울 영등포구,"2,653만원","6,565만원","4,096만원",2016년,
