기업명,기업공고,지원방법,직업 관련,지역,경력,학위,정규직 유무
휴먼IT교육센터_국비지원무료교육,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화,홈페이지 지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울영등포구,경력무관,학력무관,교육생
한국투자공사,2025년 제2차 경력직원 채용공고,홈페이지 지원,"데이터분석가, 공인회계사, 세무사, 회계사, 자산운용",서울중구,경력,학력무관,정규직
서울대학교병원,서울대학교병원 AI/데이터사이언스 연구원 및 대학원생 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 머신러닝, 딥러닝",서울종로구,경력무관,대졸↑,계약직
에이엠(주),에이엠㈜ 신입/경력 채용 모집,입사지원,"데이터분석가, 데이터엔지니어, Python, AI(인공지능), 웹개발",경기과천시,신입·경력,대졸↑,정규직
대상정보기술(주),[대상정보기술] 각 부문별 신입·경력 채용,입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 데이터시각화, 데이터마이닝",서울광진구,신입·경력,학력무관,정규직
(주)티오에스코리아,[영등포/대기업]나이스평가정보 데이터 추출 및 분석 팀원 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, Python, 웹개발",서울영등포구,경력무관,초대졸↑,파견직
(주)신한저축은행,ICT 운영 경력사원 채용 (사원~대리급),입사지원,"데이터분석가, Python, 데이터시각화, 데이터마이닝, 백엔드/서버개발",서울중구,경력 1~7년,대졸↑,정규직
(주)에이치에스씨엠티,각 부문 경력/신입 모집,입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 백엔드/서버개발, 앱개발",경기용인시 기흥구,경력3년↑,초대졸↑,정규직
(주)마루에이치알,[현대카드 카드서비스팀] 3층 시스템 마케팅 및 운영 관리 업무,입사지원,"데이터분석가, 데이터엔지니어, 데이터시각화, 데이터마이닝, SQL",서울영등포구,경력무관,초대졸↑,계약직
(주)서울커뮤니케이션,"[마곡] LG계열사 데이터 관리,라벨링 관련사무",입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, AI(인공지능), 웹개발",서울강서구,경력무관,초대졸↑,파견직
주식회사 휴비즈,마케팅 AE 신입 및 경력 채용공고,입사지원,"마케팅기획, 마케팅전략, 블로그마케팅, 행사기획, SNS마케팅",서울성동구,신입·경력,대졸↑,정규직
(주)코리아인,[여의도/통계학과/신입환영] 데이터 분석 지원 채용,입사지원,"데이터분석가, 빅데이터, 데이터엔지니어, 데이터시각화, 데이터마이닝",서울영등포구,경력무관,대졸↑,계약직·파견직
SK텔레콤(주),AI 서비스 데이터 분석 및 운영 담당자,홈페이지 지원,"데이터분석가, AI(인공지능), 기술지원, 사무직, 통신",서울중구,경력무관,대졸↑,기간제·계약직
(주)스케쳐스코리아,[스케쳐스코리아] IT 운영보조 인턴 채용,입사지원,"데이터분석가, 기술지원, 유지보수, 사무보조, Excel",서울중구,경력무관,대졸↑,인턴직
한국평가데이터(주),[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,홈페이지 지원,"데이터분석가, 서비스기획, 데이터분석, 리스크 관리, 금융기관",서울영등포구,경력무관,대졸↑,계약직
(주)한국갤럽조사연구소,[한국갤럽] 사회조사 연구원 정규직 채용(대전),입사지원,"학술연구, 설문조사, 시장조사, 통계/분석, 조사분석",대전중구,신입·경력,대졸↑,정규직
에이스휴먼파워(주),[종로/중견기업]피유코어 서울 본사 IT관리직 채용,입사지원,"데이터분석가, 데이터엔지니어, 웹개발, 데이터시각화, 데이터마이닝",서울중구,경력무관,초대졸↑,파견직
(주)인텔리빅스,[AI Model팀] AI연구소 데이터 사이언티스트 정규직 채용,입사지원,"데이터분석가, 빅데이터, 머신러닝, 딥러닝, Python",서울서초구,경력무관,대졸↑,정규직
엔에이치투자증권(주),NH투자증권 2025년 상반기 대졸 신입사원 채용(Digital),홈페이지 지원,"데이터분석가, AI(인공지능), 기술지원, AI(인공지능), 기술기획",서울영등포구,신입,대졸↑,정규직
